Training: 2023-02-22 23:23:06,186-rank_id: 0
Training: 2023-02-22 23:23:21,134-: margin_list              [1.0, 0.5, 0.0]
Training: 2023-02-22 23:23:21,135-: network                  vit_b_dp005_mask_005
Training: 2023-02-22 23:23:21,135-: resume                   False
Training: 2023-02-22 23:23:21,135-: save_all_states          False
Training: 2023-02-22 23:23:21,135-: output                   work_dirs/ms1mv2_vit_b
Training: 2023-02-22 23:23:21,135-: embedding_size           512
Training: 2023-02-22 23:23:21,135-: sample_rate              1.0
Training: 2023-02-22 23:23:21,135-: interclass_filtering_threshold0
Training: 2023-02-22 23:23:21,135-: fp16                     True
Training: 2023-02-22 23:23:21,135-: batch_size               512
Training: 2023-02-22 23:23:21,135-: optimizer                adamw
Training: 2023-02-22 23:23:21,135-: lr                       0.001
Training: 2023-02-22 23:23:21,135-: momentum                 0.9
Training: 2023-02-22 23:23:21,135-: weight_decay             0.1
Training: 2023-02-22 23:23:21,135-: verbose                  2000
Training: 2023-02-22 23:23:21,135-: frequent                 10
Training: 2023-02-22 23:23:21,135-: dali                     False
Training: 2023-02-22 23:23:21,135-: gradient_acc             1
Training: 2023-02-22 23:23:21,135-: num_workers              2
Training: 2023-02-22 23:23:21,135-: rec                      /mnt/workspace/faces_emore
Training: 2023-02-22 23:23:21,135-: num_classes              85742
Training: 2023-02-22 23:23:21,135-: num_image                5822653
Training: 2023-02-22 23:23:21,135-: num_epoch                35
Training: 2023-02-22 23:23:21,135-: warmup_epoch             3
Training: 2023-02-22 23:23:21,136-: val_targets              []
Training: 2023-02-22 23:23:21,136-: total_batch_size         4096
Training: 2023-02-22 23:23:21,136-: warmup_step              4263
Training: 2023-02-22 23:23:21,136-: total_step               49735
Training: 2023-02-22 23:24:33,533-Reducer buckets have been rebuilt in this iteration.
Training: 2023-02-22 23:25:39,188-Speed 1090.56 samples/sec   Loss 75.2364   LearningRate 0.000004   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 65536   Required: 55 hours
Training: 2023-02-22 23:26:16,995-Speed 1083.43 samples/sec   Loss 74.9673   LearningRate 0.000007   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 65536   Required: 54 hours
Training: 2023-02-22 23:26:54,698-Speed 1086.42 samples/sec   Loss 74.5066   LearningRate 0.000009   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 65536   Required: 54 hours
Training: 2023-02-22 23:27:32,273-Speed 1090.09 samples/sec   Loss 73.8492   LearningRate 0.000011   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 65536   Required: 53 hours
Training: 2023-02-22 23:28:09,758-Speed 1092.72 samples/sec   Loss 73.2209   LearningRate 0.000014   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 65536   Required: 53 hours
Training: 2023-02-22 23:28:47,705-Speed 1079.43 samples/sec   Loss 72.8588   LearningRate 0.000016   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 65536   Required: 53 hours
Training: 2023-02-22 23:29:24,999-Speed 1098.35 samples/sec   Loss 72.4587   LearningRate 0.000019   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 65536   Required: 53 hours
Training: 2023-02-22 23:30:02,932-Speed 1079.82 samples/sec   Loss 72.4775   LearningRate 0.000021   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 65536   Required: 53 hours
Training: 2023-02-22 23:30:40,613-Speed 1087.04 samples/sec   Loss 72.4743   LearningRate 0.000023   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 131072   Required: 53 hours
Training: 2023-02-22 23:31:18,157-Speed 1091.00 samples/sec   Loss 72.8580   LearningRate 0.000026   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:31:55,472-Speed 1097.72 samples/sec   Loss 73.2011   LearningRate 0.000028   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:32:32,911-Speed 1094.09 samples/sec   Loss 73.6968   LearningRate 0.000030   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:33:10,632-Speed 1085.88 samples/sec   Loss 74.2168   LearningRate 0.000033   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:33:48,081-Speed 1093.77 samples/sec   Loss 74.7828   LearningRate 0.000035   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 131072   Required: 52 hours
Training: 2023-02-22 23:34:25,403-Speed 1097.50 samples/sec   Loss 74.6127   LearningRate 0.000037   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 131072   Required: 52 hours
