Training: 2023-02-25 04:24:02,079-rank_id: 0
Training: 2023-02-25 04:24:19,503-: margin_list              [1.0, 0.5, 0.0]
Training: 2023-02-25 04:24:19,503-: network                  vit_l_dp005_mask_005
Training: 2023-02-25 04:24:19,503-: resume                   False
Training: 2023-02-25 04:24:19,503-: save_all_states          False
Training: 2023-02-25 04:24:19,503-: output                   work_dirs/ms1mv2_vit_l
Training: 2023-02-25 04:24:19,503-: embedding_size           512
Training: 2023-02-25 04:24:19,503-: sample_rate              1.0
Training: 2023-02-25 04:24:19,503-: interclass_filtering_threshold0
Training: 2023-02-25 04:24:19,503-: fp16                     True
Training: 2023-02-25 04:24:19,503-: batch_size               512
Training: 2023-02-25 04:24:19,503-: optimizer                adamw
Training: 2023-02-25 04:24:19,503-: lr                       0.001
Training: 2023-02-25 04:24:19,503-: momentum                 0.9
Training: 2023-02-25 04:24:19,503-: weight_decay             0.1
Training: 2023-02-25 04:24:19,504-: verbose                  2000
Training: 2023-02-25 04:24:19,504-: frequent                 10
Training: 2023-02-25 04:24:19,504-: dali                     False
Training: 2023-02-25 04:24:19,504-: gradient_acc             1
Training: 2023-02-25 04:24:19,504-: num_workers              2
Training: 2023-02-25 04:24:19,504-: rec                      /mnt/workspace/faces_emore
Training: 2023-02-25 04:24:19,504-: num_classes              85742
Training: 2023-02-25 04:24:19,504-: num_image                5822653
Training: 2023-02-25 04:24:19,504-: num_epoch                35
Training: 2023-02-25 04:24:19,504-: warmup_epoch             3
Training: 2023-02-25 04:24:19,504-: val_targets              []
Training: 2023-02-25 04:24:19,504-: total_batch_size         4096
Training: 2023-02-25 04:24:19,504-: warmup_step              4263
Training: 2023-02-25 04:24:19,504-: total_step               49735
Training: 2023-02-25 04:25:35,882-Reducer buckets have been rebuilt in this iteration.
Training: 2023-02-25 04:27:04,549-Speed 814.23 samples/sec   Loss 74.9796   LearningRate 0.000004   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 65536   Required: 72 hours
Training: 2023-02-25 04:27:54,816-Speed 814.88 samples/sec   Loss 74.3575   LearningRate 0.000007   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 65536   Required: 71 hours
Training: 2023-02-25 04:28:45,756-Speed 804.08 samples/sec   Loss 73.7794   LearningRate 0.000009   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 65536   Required: 71 hours
Training: 2023-02-25 04:29:36,014-Speed 815.01 samples/sec   Loss 72.9491   LearningRate 0.000011   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 65536   Required: 70 hours
Training: 2023-02-25 04:30:26,357-Speed 813.62 samples/sec   Loss 72.2862   LearningRate 0.000014   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 65536   Required: 70 hours
Training: 2023-02-25 04:31:16,420-Speed 818.19 samples/sec   Loss 71.8063   LearningRate 0.000016   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 65536   Required: 70 hours
Training: 2023-02-25 04:32:06,681-Speed 814.95 samples/sec   Loss 71.5243   LearningRate 0.000019   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 65536   Required: 70 hours
Training: 2023-02-25 04:32:57,381-Speed 807.91 samples/sec   Loss 71.5224   LearningRate 0.000021   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 65536   Required: 70 hours
Training: 2023-02-25 04:33:48,121-Speed 807.26 samples/sec   Loss 71.3847   LearningRate 0.000023   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 131072   Required: 70 hours
Training: 2023-02-25 04:34:38,786-Speed 808.46 samples/sec   Loss 71.6285   LearningRate 0.000026   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 131072   Required: 70 hours
Training: 2023-02-25 04:35:28,969-Speed 816.22 samples/sec   Loss 71.3471   LearningRate 0.000028   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 131072   Required: 70 hours
Training: 2023-02-25 04:36:19,101-Speed 817.05 samples/sec   Loss 71.9175   LearningRate 0.000030   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 131072   Required: 70 hours
Training: 2023-02-25 04:37:09,432-Speed 813.83 samples/sec   Loss 72.1395   LearningRate 0.000033   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 131072   Required: 70 hours
Training: 2023-02-25 04:37:59,727-Speed 814.40 samples/sec   Loss 72.0092   LearningRate 0.000035   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 131072   Required: 70 hours
Training: 2023-02-25 04:38:50,280-Speed 810.25 samples/sec   Loss 72.9982   LearningRate 0.000037   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 131072   Required: 70 hours
Training: 2023-02-25 04:39:40,474-Speed 816.05 samples/sec   Loss 72.9065   LearningRate 0.000040   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 131072   Required: 70 hours
Training: 2023-02-25 04:40:30,922-Speed 811.94 samples/sec   Loss 73.1935   LearningRate 0.000042   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 131072   Required: 70 hours
Training: 2023-02-25 04:41:21,380-Speed 811.76 samples/sec   Loss 73.2769   LearningRate 0.000044   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 131072   Required: 70 hours
Training: 2023-02-25 04:42:11,943-Speed 810.09 samples/sec   Loss 74.5720   LearningRate 0.000047   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 262144   Required: 70 hours
Training: 2023-02-25 04:43:02,535-Speed 809.64 samples/sec   Loss 74.4869   LearningRate 0.000049   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 262144   Required: 70 hours
Training: 2023-02-25 04:43:52,567-Speed 818.68 samples/sec   Loss 74.3511   LearningRate 0.000051   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 131072   Required: 70 hours
Training: 2023-02-25 04:44:43,080-Speed 810.90 samples/sec   Loss 74.0153   LearningRate 0.000054   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 131072   Required: 70 hours
Training: 2023-02-25 04:45:33,375-Speed 814.40 samples/sec   Loss 76.0303   LearningRate 0.000056   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 131072   Required: 69 hours
Training: 2023-02-25 04:46:23,476-Speed 817.55 samples/sec   Loss 73.7404   LearningRate 0.000058   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 131072   Required: 69 hours
Training: 2023-02-25 04:47:13,550-Speed 818.00 samples/sec   Loss 73.9163   LearningRate 0.000061   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 131072   Required: 69 hours
Training: 2023-02-25 04:48:03,816-Speed 814.87 samples/sec   Loss 74.8633   LearningRate 0.000063   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 131072   Required: 69 hours
Training: 2023-02-25 04:48:54,418-Speed 809.47 samples/sec   Loss 73.8601   LearningRate 0.000065   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 131072   Required: 69 hours
Training: 2023-02-25 04:49:44,966-Speed 810.32 samples/sec   Loss 73.4746   LearningRate 0.000068   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 131072   Required: 69 hours
Training: 2023-02-25 04:50:35,146-Speed 816.27 samples/sec   Loss 73.4904   LearningRate 0.000070   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 131072   Required: 69 hours
Training: 2023-02-25 04:51:25,638-Speed 811.23 samples/sec   Loss 73.6806   LearningRate 0.000072   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 131072   Required: 69 hours
Training: 2023-02-25 04:52:16,113-Speed 811.50 samples/sec   Loss 72.8229   LearningRate 0.000075   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 262144   Required: 69 hours
Training: 2023-02-25 04:53:06,339-Speed 815.53 samples/sec   Loss 72.5135   LearningRate 0.000077   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 262144   Required: 69 hours
Training: 2023-02-25 04:53:56,459-Speed 817.25 samples/sec   Loss 71.8933   LearningRate 0.000080   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 262144   Required: 69 hours
Training: 2023-02-25 04:54:47,176-Speed 807.63 samples/sec   Loss 72.6683   LearningRate 0.000082   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 262144   Required: 69 hours
Training: 2023-02-25 04:55:37,582-Speed 812.62 samples/sec   Loss 72.2361   LearningRate 0.000084   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 262144   Required: 69 hours
Training: 2023-02-25 04:56:27,989-Speed 812.60 samples/sec   Loss 72.5489   LearningRate 0.000087   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 262144   Required: 69 hours
Training: 2023-02-25 04:57:18,388-Speed 812.71 samples/sec   Loss 72.6240   LearningRate 0.000089   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 262144   Required: 69 hours
Training: 2023-02-25 04:58:08,731-Speed 813.64 samples/sec   Loss 73.2321   LearningRate 0.000091   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 262144   Required: 69 hours
Training: 2023-02-25 04:58:58,938-Speed 815.84 samples/sec   Loss 72.6093   LearningRate 0.000094   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 262144   Required: 69 hours
