Training: 2023-02-21 10:38:06,776-rank_id: 0
Training: 2023-02-21 10:38:21,045-: margin_list              [1.0, 0.5, 0.0]
Training: 2023-02-21 10:38:21,045-: network                  vit_s_dp005_mask_0
Training: 2023-02-21 10:38:21,045-: resume                   False
Training: 2023-02-21 10:38:21,046-: save_all_states          False
Training: 2023-02-21 10:38:21,046-: output                   work_dirs/ms1mv2_vit_s
Training: 2023-02-21 10:38:21,046-: embedding_size           512
Training: 2023-02-21 10:38:21,046-: sample_rate              1.0
Training: 2023-02-21 10:38:21,046-: interclass_filtering_threshold0
Training: 2023-02-21 10:38:21,046-: fp16                     True
Training: 2023-02-21 10:38:21,046-: batch_size               512
Training: 2023-02-21 10:38:21,046-: optimizer                adamw
Training: 2023-02-21 10:38:21,046-: lr                       0.001
Training: 2023-02-21 10:38:21,046-: momentum                 0.9
Training: 2023-02-21 10:38:21,046-: weight_decay             0.1
Training: 2023-02-21 10:38:21,046-: verbose                  2000
Training: 2023-02-21 10:38:21,046-: frequent                 10
Training: 2023-02-21 10:38:21,046-: dali                     False
Training: 2023-02-21 10:38:21,046-: gradient_acc             1
Training: 2023-02-21 10:38:21,046-: num_workers              2
Training: 2023-02-21 10:38:21,046-: rec                      /mnt/workspace/faces_emore
Training: 2023-02-21 10:38:21,046-: num_classes              85742
Training: 2023-02-21 10:38:21,046-: num_image                5822653
Training: 2023-02-21 10:38:21,046-: num_epoch                35
Training: 2023-02-21 10:38:21,046-: warmup_epoch             3
Training: 2023-02-21 10:38:21,046-: val_targets              []
Training: 2023-02-21 10:38:21,046-: total_batch_size         4096
Training: 2023-02-21 10:38:21,046-: warmup_step              4263
Training: 2023-02-21 10:38:21,046-: total_step               49735
Training: 2023-02-21 10:39:32,759-Reducer buckets have been rebuilt in this iteration.
Training: 2023-02-21 10:40:18,585-Speed 1548.09 samples/sec   Loss 73.5045   LearningRate 0.000004   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 65536   Required: 41 hours
Training: 2023-02-21 10:40:45,071-Speed 1546.55 samples/sec   Loss 73.0466   LearningRate 0.000007   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 65536   Required: 39 hours
Training: 2023-02-21 10:41:11,404-Speed 1555.50 samples/sec   Loss 72.5487   LearningRate 0.000009   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 65536   Required: 39 hours
Training: 2023-02-21 10:41:37,675-Speed 1559.21 samples/sec   Loss 71.8465   LearningRate 0.000011   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 65536   Required: 38 hours
Training: 2023-02-21 10:42:03,734-Speed 1571.84 samples/sec   Loss 71.1204   LearningRate 0.000014   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 65536   Required: 38 hours
Training: 2023-02-21 10:42:30,158-Speed 1550.16 samples/sec   Loss 70.6293   LearningRate 0.000016   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 65536   Required: 38 hours
Training: 2023-02-21 10:42:56,141-Speed 1576.42 samples/sec   Loss 70.2317   LearningRate 0.000019   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 65536   Required: 37 hours
Training: 2023-02-21 10:43:22,248-Speed 1569.01 samples/sec   Loss 69.9169   LearningRate 0.000021   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 65536   Required: 37 hours
Training: 2023-02-21 10:43:48,152-Speed 1581.28 samples/sec   Loss 70.0148   LearningRate 0.000023   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 131072   Required: 37 hours
Training: 2023-02-21 10:44:14,079-Speed 1579.88 samples/sec   Loss 70.0134   LearningRate 0.000026   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 131072   Required: 37 hours
Training: 2023-02-21 10:44:40,094-Speed 1574.51 samples/sec   Loss 70.1267   LearningRate 0.000028   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 131072   Required: 37 hours
Training: 2023-02-21 10:45:05,986-Speed 1581.99 samples/sec   Loss 70.2893   LearningRate 0.000030   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 131072   Required: 37 hours
Training: 2023-02-21 10:45:31,797-Speed 1586.96 samples/sec   Loss 70.5760   LearningRate 0.000033   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 131072   Required: 37 hours
Training: 2023-02-21 10:45:57,714-Speed 1580.50 samples/sec   Loss 70.6962   LearningRate 0.000035   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 131072   Required: 37 hours
Training: 2023-02-21 10:46:23,592-Speed 1582.81 samples/sec   Loss 70.8482   LearningRate 0.000037   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 131072   Required: 37 hours
Training: 2023-02-21 10:46:49,744-Speed 1566.33 samples/sec   Loss 70.6490   LearningRate 0.000040   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:47:15,714-Speed 1577.21 samples/sec   Loss 70.4807   LearningRate 0.000042   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:47:41,931-Speed 1562.38 samples/sec   Loss 70.0981   LearningRate 0.000044   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:48:07,826-Speed 1581.86 samples/sec   Loss 70.0176   LearningRate 0.000047   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 10:48:34,068-Speed 1560.86 samples/sec   Loss 69.6898   LearningRate 0.000049   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 10:49:00,062-Speed 1575.78 samples/sec   Loss 68.9700   LearningRate 0.000051   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 262144   Required: 36 hours
Training: 2023-02-21 10:49:26,141-Speed 1570.68 samples/sec   Loss 68.3475   LearningRate 0.000054   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:49:52,003-Speed 1583.86 samples/sec   Loss 67.9252   LearningRate 0.000056   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 131072   Required: 36 hours
Training: 2023-02-21 10:50:17,838-Speed 1585.45 samples/sec   Loss 67.2304   LearningRate 0.000058   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 131072   Required: 36 hours
